Version,Release date,Days since last release
1.0,2004-01-03,0
1.2,2004-05-22,140
1.5,2005-02-17,271
2.0,2005-12-26,312
2.1,2007-01-22,392
2.2,2007-05-16,114
2.3,2007-09-24,131
2.5,2008-03-29,187
2.6,2008-07-15,108
2.7,2008-12-10,148
2.8,2009-06-10,182
2.9,2009-12-18,191
3.0,2010-06-17,181
3.1,2011-02-23,251
3.2,2011-07-04,131
3.3,2011-12-12,161
3.4,2012-06-13,184
3.5,2012-12-11,181
3.6,2013-08-01,233
3.7,2013-10-24,84
3.8,2013-12-12,49
3.9,2014-04-16,125
4.0,2014-09-04,141
4.1,2014-12-17,104
4.2,2015-04-23,127
4.3,2015-08-18,117
4.4,2015-12-08,112
4.5,2016-04-12,126
4.6,2016-08-16,126
4.7,2016-12-06,112
4.8,2017-06-08,184
4.9,2017-11-15,160
5.0,2018-12-06,386
5.1,2019-02-21,77
5.2,2019-05-07,75
5.3,2019-11-12,189
5.4,2020-03-31,140
5.5,2020-08-11,133
5.6,2020-12-08,119
5.7,2021-03-09,91
5.8,2021-07-20,133
5.9,2022-01-25,189
6.0,2022-05-24,119
6.1,2022-11-01,161
6.2,2023-03-29,148
6.3,2023-08-08,132
6.4,2023-11-07,91
6.5,2024-04-02,147
6.6,2024-07-16,105
6.7,2024-11-12,119
6.8,2025-04-15,154
6.9,2025-12-02,231
