Version,File size,File size change,Themes size,File size without themes
4.0,6.9,,1.6,5.3
4.1,7,0.1,1.8,5.2
4.2,7.2,0.2,1.8,5.4
4.3,7.4,0.2,1.7,5.7
4.4,8,0.6,2,6
4.5,8.8,0.8,2.6,6.2
4.6,9,0.2,2.5,6.5
4.7,9.1,0.1,2.4,6.7
4.8,9.3,0.2,2.4,6.9
4.9,10.8,1.5,2.4,8.4
5.0,11.9,1.1,2,9.9
5.1,12,0.1,2.1,9.9
5.2,12.6,0.6,2.1,10.5
5.3,13.3,0.7,2.3,11
5.4,13.8,0.5,2.3,11.5
5.5,14.6,0.8,2.3,12.3
5.6,18.8,4.2,5.9,12.9
5.7,17.5,-1.3,4.4,13.1
5.8,17.1,-0.4,4.4,12.7
5.9,21.3,4.2,7.7,13.6
6.0,23.4,2.1,9.7,13.7
6.1,25,1.6,11.1,13.9
6.2,25.2,0.2,11.1,14.1
6.3,25.6,0.4,11.1,14.5
6.4,26.6,1,11.5,15.1
6.5,26.9,0.3,11.5,15.4
6.6,27,0.1,11.3,15.7
6.7,35.4,8.4,19.4,16
6.8,35.5,0.1,19.4,16.1
6.9,28.7,-6.8,13.4,15.3
